Size,Rooms,Floors,Owners,Age,Yard,Pool,GuestRoom,Price,NumPrice
35.912,88,85,7,3,Big,Yes,No,Low,0
99.053,20,41,6,8,Big,Yes,Yes,High,1
38.691,59,54,6,2,Big,Yes,Yes,Low,0
43.084,5,27,10,3,Big,No,Yes,Low,0
99.338,73,88,1,14,Small,Yes,Yes,High,1
22.825,100,18,6,23,Big,Yes,Yes,Low,0
25.066,8,85,1,28,Big,No,Yes,Low,0
22.304,42,37,2,21,Small,Yes,Yes,Low,0
69.429,65,34,8,24,Small,No,Yes,High,1
1.754,87,70,6,8,Big,No,Yes,Low,0
38.742,100,2,8,29,Big,No,Yes,Low,0
96.381,73,44,3,24,Big,No,No,High,1
62.942,57,88,2,6,Small,Yes,Yes,High,1
38.535,59,78,7,6,Small,No,Yes,Low,0
99.134,67,32,9,23,Big,Yes,No,High,1
9.601,67,83,9,5,Small,No,Yes,Low,0
21.396,20,44,10,13,Big,Yes,Yes,Low,0
54.907,91,64,8,19,Small,No,Yes,High,1
15.29,77,97,3,12,Small,No,Yes,Low,0
34.746,12,15,5,21,Big,No,No,Low,0
14.83,81,1,10,29,Big,No,No,Low,0
70.247,96,46,6,1,Big,No,No,High,1
25.802,89,63,5,8,Small,No,No,Low,0
9.529,71,41,4,2,Small,Yes,Yes,Low,0
54.859,57,2,10,8,Small,No,Yes,High,1
64.005,87,44,4,27,Small,No,No,High,1
29.721,94,76,3,20,Small,Yes,No,Low,0
64.72,75,18,9,31,Big,No,Yes,High,1
71.661,54,64,6,7,Small,Yes,No,High,1
22.387,3,24,6,23,Big,No,No,Low,0
96.177,51,73,4,24,Small,No,Yes,High,1
15.731,34,37,2,18,Big,Yes,Yes,Low,0
60.589,4,44,7,8,Big,No,No,High,1
29.435,69,19,7,30,Small,Yes,No,Low,0
26.966,91,44,7,19,Big,Yes,No,Low,0
80.759,34,79,8,12,Big,Yes,No,High,1
44.847,13,60,7,9,Big,Yes,No,Low,0
18.78,88,77,8,27,Small,Yes,Yes,Low,0
38.551,8,74,1,19,Big,Yes,No,Low,0
90.488,36,93,2,29,Big,No,Yes,High,1
55.144,48,87,7,10,Big,Yes,Yes,High,1
12.426,53,17,6,23,Big,No,Yes,Low,0
